tumor_size,cell_density,cell_morphology,cancer_type
40.581311290499436,2666.196359547577,7,1
95.31785910894203,5877.1085264052235,3,1
74.53942447208348,8856.512522887675,7,1
61.872555998718475,7590.023977686051,8,1
19.82177084203147,8259.050330753047,10,1
19.81947943193925,6929.050300396456,6,2
10.517943155978948,7230.489080660672,10,0
87.28673384861884,8642.760864087873,9,2
62.10592611560484,3247.0120797326736,6,0
72.26689489062431,5404.824672788264,9,1
6.955526958101233,2990.88497637642,4,0
97.14143595538945,9889.012071969823,8,2
84.08205087604007,9496.534057179519,4,2
25.172215514436235,1354.841302316553,2,0
22.27337188467456,7350.176552641196,10,1
22.42342843607621,9327.234856740992,9,1
33.90301308115608,2625.1781061460015,5,2
54.851861005062595,6111.507074973665,4,0
46.034776771001,9239.394678292376,2,1
32.66676831881398,1305.5138072721895,1,1
63.12602499862605,7276.782405221559,7,2
18.251916761943974,3676.141066352957,6,1
32.75374161084572,9319.565758388773,2,0
39.804375112900715,9739.52420648831,8,2
48.32664850061841,9498.398402020905,4,2
79.59171633233629,5267.927949917174,8,0
23.969009305044175,8758.38385890382,7,2
53.8522716492931,8600.944586815633,5,1
61.27938404189403,3871.904259189301,10,1
9.412789208399783,8460.239267356097,10,0
62.716760930636646,1333.0687124394335,8,1
21.199791750292697,6366.428906338478,9,0
11.179901333601554,3070.0795355893274,5,0
95.14412603906666,2085.1019719955093,10,1
96.73504314208314,1692.5788146628825,5,0
81.79774807106381,7266.598982903258,2,1
33.93830807147022,4058.8746739125954,5,2
14.278850830606467,7522.900943758853,3,2
70.0021375186549,1588.2070671904812,7,0
46.81448690526212,3837.613040475493,10,1
16.593632310253987,5855.421631378035,5,1
52.04180646057067,8116.508483550672,8,2
8.266909505945748,3868.772526388629,1,2
91.38543819748429,6633.0223879330815,3,1
29.584098252001606,8973.799734125685,3,0
67.9396170136283,6542.768693640741,9,2
34.61255222849404,3096.635272782704,5,0
54.406462011892025,1219.6070340088422,9,0
56.937476537611566,8830.88986510837,9,2
22.561173274925068,1191.4246976534841,1,0
97.11053963763307,8872.315054157794,2,0
78.63761821930588,5760.434206244908,5,1
94.25239944859797,9451.609286616065,4,0
90.00859829062664,8189.0491219629885,10,1
61.80049798705309,9981.406994800038,9,2
92.5780523271961,4156.406339065392,7,2
13.406787694932353,7904.694600380142,6,1
23.618371929818792,4617.378222483179,7,2
9.296592446501116,5318.88058273518,1,0
35.90638142251011,6647.549168965331,1,0
41.924342520500794,8863.094027677049,8,0
30.778158018520113,9856.751222793657,2,2
83.73006336943328,7914.460724780663,10,0
38.89156603589098,4759.901039506004,9,2
31.688778420301173,4792.213020493631,7,0
56.5561279000336,7638.240714300024,6,1
18.387801372602453,3148.994311914721,1,2
81.20871317163378,1994.267018182552,1,2
12.082311149578228,4191.599418766989,2,0
98.75425897704915,3585.1509248867355,6,2
78.36325308318246,3666.7730841039106,6,2
23.87798974574638,3102.4697594491895,2,1
5.524601126742228,1378.838706727257,1,1
82.46883570320925,1160.8654126007243,10,0
72.15144766552362,9889.501507624283,5,1
74.2556809638938,4849.958203622761,5,0
78.27068293516484,4458.939824437135,2,0
12.034241914738583,7116.8255442376285,6,0
39.0542442117059,2964.2849907855775,9,2
16.00756065488732,9549.650655552028,2,1
86.99482545818138,8077.105129739968,10,0
64.21332204861801,1804.6990208103357,2,1
36.43531236100167,4758.226982064355,3,0
11.038043277172246,8912.064768059481,7,1
34.54332056298791,9502.588200622693,6,1
35.89241559254097,5206.613601248828,8,0
74.31258694211608,6520.702502896369,8,2
65.56795977874525,2503.305514828677,6,1
89.28521054475102,9920.517635232789,10,2
49.860417890385186,3085.0453124509904,3,2
16.36145336413866,9484.585967216131,3,0
72.75825478618452,6846.819840931316,1,0
77.27457961860526,6469.631153909732,7,0
58.32133376910214,5614.196599148578,5,1
78.2418820956833,3076.028305459828,4,0
51.91058165461712,2588.7522880495744,10,0
54.65961879128943,2984.3758816315785,4,1
45.616396744062214,2677.9443592982907,4,1
7.414817040689043,8016.26026210078,6,0
15.249685564363922,4151.127332500571,8,0
7.9857726402397535,1520.5840890705672,8,0
65.45898907005915,9721.923671267303,5,0
34.86381820225104,8954.072964670831,6,2
53.31421566064677,9349.770548756916,4,2
91.21881502297883,9954.170403817918,9,0
28.68276176914312,2565.0572429753856,8,2
43.98637768838483,4566.178170123929,10,1
76.77735816158962,7824.146281336822,10,2
26.735825721704135,7264.18556248413,1,2
12.313091433735334,2385.0631570586957,2,0
32.526388026807965,8342.49812491556,9,2
20.31602228913042,3019.9651465299457,8,2
93.32127697254444,3014.358533403608,3,2
81.77143605861961,5832.769806040722,8,2
65.17335686849023,6336.459413575329,1,1
87.78875606783318,6220.7758705403,10,0
81.34884730541587,1823.3815365797939,4,0
22.724155594173403,8897.147763673423,3,1
89.79310485654788,3390.4003832983544,6,2
56.23751298198682,2165.634291545238,7,1
81.70681474058594,8998.732718820795,4,2
90.12867349273186,9600.86348406778,7,1
35.210330122327065,8759.148555389056,9,0
15.454932830129293,8285.644672523904,2,0
26.65384044148446,6897.177825751195,3,0
45.57523991949435,5957.716335482254,5,2
82.71140276263685,1782.8808392026913,3,2
86.76940540935263,4676.078917636289,8,1
5.660452400463117,4354.196653110826,10,1
53.52099374486875,3337.784053842936,8,0
44.654045299134005,7510.781023197264,8,2
26.100241994719372,5462.881615708938,9,1
16.387209896699865,1729.4159431688313,4,2
37.07344128334466,2981.648817548302,5,2
94.57642187168932,7149.328872936363,5,0
35.704278541971746,1685.1777354127016,8,0
54.28510906561978,8660.862226438918,7,2
71.7868010950419,5456.318743125769,9,2
39.54481222603293,5325.279195939832,8,2
97.31929785849127,6331.670061935659,2,2
96.43249301950057,8422.128693326344,10,0
28.919318103409594,4130.282871119738,4,1
52.23860805977662,7102.145373031572,6,0
33.58343943259312,6091.58767596212,2,1
32.05984696585942,3403.254431524792,7,2
8.504259998680617,8907.669877196422,3,1
62.9086117280902,8176.834194462353,3,0
52.75450720674184,6926.066511925829,2,0
9.890481368748988,8655.235561848178,8,2
31.471414102478086,8805.647808638221,6,0
91.2852591668321,7375.266790435313,1,2
27.75837961336238,8533.119955273049,1,0
18.765012848666196,7277.243155023552,7,0
51.49801222636849,7121.2669458427035,8,2
98.63679314050707,6567.502403936659,5,1
27.99525079359254,7774.449756018771,5,0
68.85287700355846,2427.4459476376633,4,1
77.35386345622817,8927.836832790355,6,0
27.57556667927797,8846.591749707088,6,0
74.18055311812665,1263.2255473110322,3,0
39.93939760832906,8432.350755082865,9,0
65.06905390639005,2159.8288072610067,7,1
65.18532252228499,4016.069688332277,1,1
55.89859498710206,7691.5743066244695,7,0
13.577528155168789,2446.8390644347737,5,0
84.35373708097761,8361.703217071561,5,1
